user_id,username,email,registration_date,role
U00001,ليلى الرشيدي,user1_783@example.com,2024-04-03,writer
U00002,زينب الرشيدي,user2_230@example.com,2024-04-29,writer
U00003,خالد الرشيدي,user3_186@example.com,2024-01-29,writer
U00004,هدى القحطاني,user4_858@example.com,2024-04-09,writer
U00005,أحمد الغامدي,user5_567@example.com,2024-08-14,writer
U00006,زينب العنزي,user6_340@example.com,2024-02-04,writer
U00007,يوسف العتيبي,user7_696@example.com,2024-03-12,writer
U00008,عبدالله المطيري,user8_389@example.com,2024-02-06,writer
U00009,هدى القرني,user9_668@example.com,2024-05-30,writer
U00010,ريم المطيري,user10_460@example.com,2024-02-15,writer
U00011,مريم الشهري,user11_150@example.com,2024-07-06,writer
U00012,زينب العنزي,user12_608@example.com,2024-07-20,writer
U00013,عبدالله العتيبي,user13_819@example.com,2024-02-07,writer
U00014,حسن الدوسري,user14_901@example.com,2024-08-12,writer
U00015,محمد البلوي,user15_472@example.com,2024-05-11,writer
U00016,عبدالله الشهري,user16_276@example.com,2024-01-25,writer
U00017,هدى الشهري,user17_587@example.com,2024-06-15,writer
U00018,ريم القرني,user18_729@example.com,2024-04-09,writer
U00019,يوسف الجهني,user19_679@example.com,2024-06-10,writer
U00020,يوسف الغامدي,user20_545@example.com,2024-05-07,writer
U00021,زينب القرني,user21_757@example.com,2024-07-16,writer
U00022,هدى البلوي,user22_596@example.com,2024-08-04,writer
U00023,عمر البلوي,user23_613@example.com,2024-04-10,writer
U00024,نور المالكي,user24_921@example.com,2024-04-19,writer
U00025,عمر الزهراني,user25_414@example.com,2024-05-29,writer
U00026,ليلى الشهري,user26_961@example.com,2024-02-03,writer
U00027,عبدالله العتيبي,user27_690@example.com,2024-05-10,writer
U00028,زينب السبيعي,user28_142@example.com,2024-02-18,writer
U00029,علي الغامدي,user29_524@example.com,2024-05-08,writer
U00030,حسن الشمري,user30_499@example.com,2024-07-15,writer
U00031,يوسف الدوسري,user31_785@example.com,2024-01-21,writer
U00032,سارة القرني,user32_881@example.com,2024-07-09,writer
U00033,يوسف الرشيدي,user33_200@example.com,2024-03-31,writer
U00034,هدى القحطاني,user34_560@example.com,2024-06-18,writer
U00035,نور العنزي,user35_679@example.com,2024-05-12,writer
U00036,أحمد العتيبي,user36_180@example.com,2024-05-23,writer
U00037,خالد الزهراني,user37_964@example.com,2024-03-23,writer
U00038,ريم المالكي,user38_638@example.com,2024-04-18,writer
U00039,عبدالله الشهري,user39_620@example.com,2024-01-26,writer
U00040,ريم الشهري,user40_534@example.com,2024-02-22,writer
U00041,نور القحطاني,user41_730@example.com,2024-04-20,writer
U00042,سارة الدوسري,user42_101@example.com,2024-05-30,writer
U00043,نور القحطاني,user43_307@example.com,2024-04-05,writer
U00044,عبدالله الغامدي,user44_737@example.com,2024-05-17,writer
U00045,هدى العتيبي,user45_250@example.com,2024-08-07,writer
U00046,حسن المالكي,user46_413@example.com,2024-05-10,writer
U00047,خالد العتيبي,user47_849@example.com,2024-04-07,writer
